target_screen_name,target_party,target,source,source_party,label,weight
alexmuellerfdp,FDP,17,494,FDP,Thomas Sattelberger,1
alexmuellerfdp,FDP,17,553,FDP,Wieland Schinnenburg,2
alexmuellerfdp,FDP,17,69,FDP,Christine Aschenberg-Dugnus,1
alexmuellerfdp,FDP,17,72,FDP,Carina Konrad,2
alexmuellerfdp,FDP,17,81,FDP,Christian Sauter,4
alexmuellerfdp,FDP,17,97,FDP,Daniela Kluckert,2
Alice_Weidel,AfD,18,127,AfD,Michael Espendiller,4
Alice_Weidel,AfD,18,134,AfD,Berengar Elsner von Gronow,37
Alice_Weidel,AfD,18,135,AfD,Enrico Komning,1
Alice_Weidel,AfD,18,159,AfD,Frank Pasemann,34
Alice_Weidel,AfD,18,167,AfD,Markus Frohnmaier,2
Alice_Weidel,AfD,18,185,AfD,Götz Frömming,10
Alice_Weidel,AfD,18,191,AfD,Harald Weyel,3
Alice_Weidel,AfD,18,272,AfD,Kay Gottschalk,1
Alice_Weidel,AfD,18,276,AfD,Jens Kestner,1
Alice_Weidel,AfD,18,292,AfD,Leif-Erik Holm,1
Alice_Weidel,AfD,18,302,AfD,Mariana Harder-Kühnel,1
Alice_Weidel,AfD,18,303,AfD,Martin Reichardt,8
Alice_Weidel,AfD,18,329,AfD,Martin Hess,1
Alice_Weidel,AfD,18,367,AfD,Andreas Mrosek,2
Alice_Weidel,AfD,18,418,AfD,Petr Bystron,1
Alice_Weidel,AfD,18,422,AfD,Lothar Maier,8
Alice_Weidel,AfD,18,424,AfD,Roland Hartwig,5
Alice_Weidel,AfD,18,431,AfD,René Springer,7
Alice_Weidel,AfD,18,432,AfD,Martin Renner,165
Alice_Weidel,AfD,18,442,AfD,Sebastian Münzenmaier,3
Alice_Weidel,AfD,18,45,AfD,Beatrix von Storch,1
Alice_Weidel,AfD,18,451,AfD,Jörg Schneider,163
Alice_Weidel,AfD,18,468,AfD,Stephan Brandner,6
Alice_Weidel,AfD,18,495,AfD,Thomas Seitz,1
